Name,Description,Rating
Tangled: The Series,"Set between Walt Disney Animation Studios' ""Tangled"" and its short film ""Tangled Ever After,"" this animated adventure/comedy series unfolds as Rapunzel acquaints herself with her parents, her kingdom and the people of Corona.",7.7
3Below: Tales of Arcadia,A pair of teenage royals and their bodyguard escape from their home planet and try to blend in on Earth.,7.6
Castlevania,A vampire hunter fights to save a besieged city from an army of otherworldly creatures controlled by Dracula.,8.3
Final Space,An astronaut named Gary and his planet-destroying sidekick called Mooncake embark on serialized journeys through space in order to unlock the mystery of where the universe actually ends and if it actually does exist.,8.2
Tron: Uprising,"In the computer world of the Grid, a young program joins Tron's fight against their world's tyranny.",8.2
Thundercats,"After his home kingdom is destroyed by the ancient devil priest Mumm-Ra, the young Thundercat Lord Lion-O leads a team of survivors as they fight evil on Third Earth.",7.8
The Boondocks,Brothers Huey and Riley Freeman experience a culture clash when they leave Chicago to move in with their grandfather in the suburbs.,8.5
6Teen,"Set in a giant shopping mall, this show follows the after-school lives of six 16-year-olds.",7.5
Wizards,The third installment of DreamWork's 'Tales of Arcadia' trilogy. The gang ends up in the past and must make sure that everything happens the way it should.,8
Primal,A caveman and a dinosaur bond over shared tragedy and work together to survive in a perilous prehistoric world.,8.7
The Legend of Vox Machina,"After saving the realm from evil and destruction at the hands of the most terrifying power couple in Exandria, Vox Machina is faced with saving the world once again-this time, from a sinister group of dragons known as the Chroma Conclave.",8.4
Invincible,An adult animated series based on the Skybound/Image comic about a teenager whose father is the most powerful superhero on the planet.,8.7
Blood of Zeus,"A commoner living in ancient Greece, Heron discovers his true heritage as a son of Zeus, and his purpose: to save the world from a demonic army.",7.5
Arcane: League of Legends,"Set in Utopian Piltover and the oppressed underground of Zaun, the story follows the origins of two iconic League Of Legends champions and the power that will tear them apart.",9
Star Wars: Clone Wars,The events and battles of the Galactic Republic's last major war are recounted.,7.8
SWAT Kats: The Radical Squadron,"In a world of anthropomorphic felines, two demoted fighter pilots battle evil as high flying masked vigilantes.",8.4
"Scooby Doo, Where Are You!","A group of teenage friends and their Great Dane (Scooby-Doo) travel in a bright green van solving strange and hilarious mysteries, while returning from or going to a regular teenage function.",7.9
Detentionaire,"When 10th-grader Lee Ping sneaks out of detention to find out who framed him for a major prank, he slowly uncovers a massive conspiracy that encompasses his entire school and will determine the fate of the human race.",8
Rick and Morty,The fractured domestic lives of a nihilistic mad scientist and his anxious grandson are further complicated by their inter-dimensional misadventures.,9.1
Titan Maximum,Sci-fi stop-motion parody centering on a group of teen heroes that pilot a giant robot in order to protect the galaxy from evil.,7
American Dad!,"The escapades of Stan Smith, a conservative C.I.A. Agent dealing with family life, and keeping America safe.",7.4
Robot Chicken,Pop culture references fly thick and fast as stop-motion animation is featured in sketches lampooning everything from television movies to comic books.,7.7
Bob's Burgers,Bob Belcher runs a struggling burger shop with his wife and three children.,8.2
South Park,"Follows the misadventures of four irreverent grade-schoolers in the quiet, dysfunctional town of South Park, Colorado.",8.7
Family Guy,"In a wacky Rhode Island town, a dysfunctional family strives to cope with everyday life as they are thrown from one crazy scenario to another.",8.1
Aqua Teen Hunger Force,"The misadventures of a milkshake, an order of fries, a meatball, and their retired next door neighbor in the suburbs of New Jersey.",7.7
The Simpsons,The satiric adventures of a working-class family in the misfit city of Springfield.,8.7
King of the Hill,"A straight-laced propane salesman in Arlen, Texas tries to deal with the wacky antics of his family and friends, while also trying to keep his son in line.",7.5
Animaniacs,The zany adventures of a trio of 1930s animated characters in the modern world.,7.9
Pinky and the Brain,"Pinky and Brain are genetically enhanced laboratory mice who reside in the research facility. Brain is self-centered and scheming; Pinky is good-natured but feeble-minded. In each episode, Brain devises a new plan to take over the world.",7.8
The Grim Adventures of Billy & Mandy,The ill-tempered Grim Reaper gets into a wager that forces him to become the life-long companions of two scheming youngsters after he loses.,7.7
Jackie Chan Adventures,"Jackie Chan teams up with his 11-year-old niece, Jade, traveling the globe to locate a dozen magical talismans before the sinister Dark Hand does. Helping Jackie and Jade is Uncle, a cantankerous but wise antiquities expert.",7.4
Wolverine and the X-Men,"After an explosion at the school, the X-Men went their separate ways. But they must unite once again under the leadership of Wolverine to prevent an inevitable war while also dealing with present problems.",8
Superman: The Animated Series,The last son of the planet Krypton protects his adoptive home of Earth as the greatest of the superheroes.,8.1
Johnny Bravo,"The misadventures of a dumb blond egomaniac who severely overestimates his own manliness and his supposed ""success"" with women.",7.2
Dexter's Laboratory,The misadventures of a boy genius and his annoying sister.,7.9
Courage the Cowardly Dog,"The offbeat adventures of Courage, a cowardly dog who must overcome his own fears to heroically defend his unknowing farmer owners from all kinds of dangers, paranormal events and menaces that appear around their land.",8.3
The Powerpuff Girls,"Three super-powered little girls constantly save the world (or at least the city of Townsville) from monsters, would-be conquerers and a few other gross things.",7.3
"Ed, Edd n Eddy","The off-the-wall, day-to-day life of three friends who have exactly the same name.",7.5
X-Men: Evolution,"This rendition of X-Men features Cyclops, Jean Grey, Rogue, Nightcrawler, Shadowcat and Spike as teenagers as they fight for a world that fears and hates them.",7.8
DuckTales,"The comedy-adventure series chronicles the high-flying adventures of trillionaire Scrooge McDuck; his temperamental nephew Donald Duck; grandnephews Huey, Dewey, and Louie; Launchpad McQuack; and Mrs. Beakley and her granddaughter Webby.",8.3
Young Justice,Teenage superheroes strive to prove themselves as members of the Justice League.,8.6
Xiaolin Showdown,A young Xiaolin monk named Omi with a giant yellow head leads a trio of other students to collect powerful items known as Shen Gong Wu while battling the evil Jack Spicer who is also after the artifacts,7.4
The Bugs Bunny/Looney Tunes Comedy Hour,"A Saturday morning series, collecting of some of the most popular classic cartoons from the Looney Tunes catalogue.",8.3
Tiny Toon Adventures,"The wacky adventures of the new young hip generation of Warner Brothers Looney Tunes characters, most of them descendants of the original classic toon cast.",7.5
Fillmore!,Former delinquent now fights for the good guys at X Middle School.,7.6
American Dragon: Jake Long,A teenage slacker is given the ability to turn into the American Dragon and defends all mythical creatures that secretly reside in the human world.,6.6
Motorcity,"A fictitious futuristic Detroit, which is an elevated metropolis built over the old Detroit, classified as Detroit Deluxe. It is owned by evil billionaire Abraham Kane.",7.2
Over the Garden Wall,Two brothers find themselves lost in a mysterious land and try to find their way home.,8.8
Extreme Ghostbusters,"Several years after the events of the original show and the movies, Dr. Egon Spengler agrees to help a group of his young students re-form the Ghostbusters under his mentorship.",6.9
My Life as a Teenage Robot,The escapades of a super-powered robot who happens to resemble a teenage girl that tries to balance high school and teen problems while trying to save the world from danger.,7
The Legend of Calamity Jane,The adventures of the legendary female western hero.,7.2
My Adventures with Superman,"Clark Kent builds his secret Superman identity and embraces his role as the hero of Metropolis, while sharing adventures and falling in love with Lois, a star investigative journalist, who also takes Jimmy Olsen under her wing.",7.7
Unicorn: Warriors Eternal,A team of ancestral heroes is charged with protecting the world from an ominous force and their awakening comes all too soon.,7.3
Clone High,"The greatest minds of the world have been cloned, and are now attending high school together.",8.1
Mission Hill,The misadventures of a group of disparate roomates who live in a hip neighborhood in a major city.,7.8
Clerks,"The continuing adventures of clerks Dante and Randal, who try to make the best of their menial labor, with no help from Jay and Silent Bob.",7.4
Undergrads,The misadventures of a group of childhood friends who keep in touch while attending separate colleges.,7.8
Downtown,The misadventures of a group of urban teens as they go about their lives.,8.3
The Last Kids on Earth,"Young teenager Jack Sullivan and a group of friends live in a decked-out tree house, playing video games, eating candy, and fighting zombies in the aftermath of a monster apocalypse.",7.2
Hit-Monkey,"It tells the tale of a wronged Japanese snow monkey, mentored by the ghost of an American assassin, as he cuts a wide swath through the Tokyo underworld.",7.8
Legend Quest,"In 19th Century America, 12 year old Leo and his ghost companions defend their world against supernatural threats.",7.3
Godzilla: The Series,"In this direct sequel to the 1998 Godzilla movie, Dr. Nico Tatopoulos leads a team, known as H.E.A.T, to battle giant monsters with the help of Godzilla's only living offspring.",6.8
The Hollow,Three teen strangers awaken in a dangerous world and try to make sense of what connection they have to each other as they attempt to make it out alive.,7.2
Freakazoid!,"Washington, D.C. has a new defender: Freakazoid. The comedy and insanity never stop when he's around, and he's only one of the weird heroes of the series. It's better than a nice tub of good things.",7.5
Histeria!,"Edutainment animated series that parodies and satirizes history, pop culture and edutainment concept itself.",7.7
Duck Dodgers,"Animated science fiction series based on the alter ego of Looney Tunes star Daffy Duck, the semi-heroic, yet incompetent, space captain Duck Dodgers.",7.7
Viking Skool,A group of young students in training to become Viking warriors embark on a series of humorous and exciting adventures in a mystical world.,6.4
The Looney Tunes Show,An updated iteration of the classic Looney Tunes characters focusing on their satirical misadventures living in suburbia.,7.7
The Fairly OddParents,"After being tortured and humiliated by his babysitter, a ten year old boy is put under the care of two fairy godparents, who can grant him almost any wish, which leads to dire consequences.",7.2
"The Adventures of Jimmy Neutron, Boy Genius","A young boy, who happens to be a genius, lives in a small town with his family and friends and often gets into crazy adventures with them involving the things he invents.",6.7
Daria,A smart and cynical girl goes through teenage life as a proud outsider in a world of mainly idiotic adolescents and condescending adults.,8.1
