英語,日本語
JR West Hotels Kyoto (Hotel Granvia Kyoto),JR西日本ホテルズ京都
JR West Sagano Line (Sanin Main Line),JR西日本嵯峨野線（山陰本線）
JR West Nara Line,JR西日本奈良線
JR Nishimaizuru Station,JR西舞鶴駅
JR Senseki Line,JR仙石線
JR Uzumasa Station,JR太秦駅
JR Osaka Station,JR大阪駅
JR Osaka Loop Line,JR大阪環状線
JR Yamatoji Line,JR大和路線
"JR Yamato Line, Kamo station (Kyoto Prefecture)",JR大和路線加茂駅 (京都府)
"JR Yamato Line, Nara station",JR大和路線奈良駅
JR Nagaokakyo Station,JR長岡京駅
JR Tokaido Main Line,JR東海道本線
JR Tozai Line,JR東西線
JR Tozai Line Kitashinchi Station,JR東西線北新地駅
JR Higashi-Maizuru Station,ＪR東舞鶴駅
JR Tofukuji Station,JR東福寺駅
JR Fujinomori Station,JR藤森駅
JR Doshishamae Station,JR同志社前駅
JR Limited Express Kinosaki,JR特急きのさき
JR Limited Express Tanba,JR特急たんば (列車)
JR Limited Express Hashidate,JR特急はしだて (列車)
JR Limited Express Haruka,ＪＲ特急はるか
JR Limited Express Monju,JR特急文殊 (列車)
JR Limited Express Kitakinki,JR特急北近畿 (列車)
JR Nara Line,JR奈良線
JR Nara Line Joyo Station,JR奈良線城陽駅
JR Nara Line Tofuku-ji Station,JR奈良線東福寺駅
JR Nara Line Momoyama station,JR奈良線桃山駅
JR Minami-Tanabe Station,JR南田辺駅
JR Nanba Station,JR難波駅
JR Nijo Station NK Building,JR二条駅NKビル
JR Itabashi Station,JR板橋駅
JR Maizuru Line,JR舞鶴線
JR Fukuchiyama Line,JR福知山線
The derailment accident on the JR Fukuchiyama Line ,JR福知山線脱線事故
JR Katamachi Line,JR片町線
JR Takarazuka Line,JR宝塚線
JR Takarazuka Line Shin-Sanda Station,JR宝塚線新三田 (駅)
JR Rokujizo,JR六地蔵
JR Rokujizo Ito-Yokado-mae,JR六地蔵イトーヨーカドー前
JR Rokujizo Kitaguchi,JR六地蔵北口
J Through Card,Jスルー
J Through Card,Jスルーカード
Kyoto Broadcasting System Company Limited,KBS京都放送（KBS京都）
"KOBE Welding Wire Co., Ltd.",KOBEウェルディングワイヤ
KTR (Kitakinki tango Railway) Miyazu-ekimae,KTR (北近畿タンゴ鉄道) 宮津駅前
"KRT001 type diesel multiple unit known ""Limited Express Tango Explorer""",KTR001形気動車「タンゴエクスプローラー」
KTR Miyafuku Line,KTR宮福線
KTR Ama-no-Hashidate-ekimae,KTR天橋立駅前
KTR Limited Express Tango Explorer,KTR特急タンゴエクスプローラー
KTR Limited Express Tango Discovery,KTR特急タンゴディスカバリー
Kyoto Nantan Rally,KYOTO南丹ラリー
K-limited express,K特急
"K-Ltd. Express (K-tokkyu) ""Orihime""",K特急「おりひめ」
light rail transit (LRT),LRT
M. F. Denton,M.F.デントン
MBS Tigers nighter (night game),MBSタイガースナイター
MBS Now,MBSナウ
MIO Biwako Kusatsu,MIOびわこ草津
MOA Museum of Art,MOA美術館
MOMO Kintetsu (Kintetsu Department Store Momoyama Store),MOMO近鉄（近鉄百貨店桃山店）
MOSAIC.WAVE,MOSAIC.WAVE
MOVIX (Kyoto),MOVIX
MOVIX Kyoto,MOVIX京都
NATO bullet,NATO弾
NCC Center for the Study of Japanese Religions,NCC宗教研究所
Nippon Hoso Kyokai (Japan Broadcasting Corporation),NHK
NHK Kyoto Broadcasting Station,NHK京都放送局
NHK National Educational Television,NHK教育テレビジョン
Taiga-dorama (NHK Historical drama),NHK大河ドラマ
NTT Keihanna,NTTけいはんな
NTT Facilities,NTTファシリティーズ
NTT Shinden Bekkan Annex,NTT新田別館
NTT West,NTT西日本
NTT Urban Development Co.,NTT都市開発
NTT Yodo Building,NTT淀ビル
enu-den (narrow gauged train),N電
Otaiko-hibike (Let the drum echo),O・TA・I・KO 響
O・TO・GI - Otogi - (English title: Otogi: Myth of Demons),O・TO・GI 〜御伽〜
OEM (original equipment manufacturing),OEM
PHP Inteface Kyoto Head Office,PHP研究所本社
PiTaPa Card,PiTaPa
Re-Cue Hall,Re-Cueホール
RKB Mainichi Broadcasting Corporation,RKB毎日放送
SANSA Ukyo,SANSA右京
"SEC Carbon, Limited",SECカーボン株式会社
"Sagawa Express Co., Ltd. Head Office/Kyoto Office",SGホールディングス本社
SL Park,SL公園
Suica Card,Suica
"""Tactics (cartoon)"" by Sakura KINOSHITA and Kazuko HIGASHIYAMA",Tactics (漫画)（木下さくらと東山和子による漫画）
"Tokyo Broadcasting System Television, Inc.",TBS
TBC drama,TBSドラマ
THE MOMOTAROH Oni Ichizoku,THE MOMOTAROHオニ一族
T-intersection / T-junction,T字路
VICS (Vehicle Information and Communication System) links,VICSリンク
Z-shaped pantograph,Zパンタ (グラフ）
arcade,アーケード
The Prince Arthur,アーサー
Arther David Waley,アーサー・ウェイリー
archery,アーチェリー
arch-shaped ceiling,アーチ形の天井
art exhibition,アート展示会
Ernest Fenollosa,アーネスト・フェノロサ
Urbanex Oike Building,アーバネックス御池ビル
Urban Ace Corporation,アーバン・エース
the Urban Network,アーバンネットワーク
Amherst House,アーモスト館
Amherst College,アーモスト大学
Ai,アイ
Disney's Aida,アイーダディズニー
"Narayama R & D Office, Icom Inc.",アイコム（株）「ならやま研究所」
eye shadow,アイシャドー
idea,アイデア
Ainu tribe,アイヌ
the Ainu,アイヌ民族
Aino Tsuchiyama Saio Gunko (Princess Saio's costumed procession to Ise Jingu represented the Emperor),あいの土山斎王群行
AIFUL Corporation,アイフル
Ireland,アイルランド
Avesta,アヴェスター
red kangaroo,アカカンガルー
red fox,アカギツネ
rhesus macaque,アカゲザル
Scarlet macaw,アカコンゴウインコ
Academia-sho (Academia Award),アカデミア賞
Academeia Ritsumei 21,アカデメイア立命21
red pine timber,アカマツ材
the Aka (Akha) ethnic group,アカ族
Akita-Komachi,あきたこまち
Autumn rice field,あきのた
Imperial Princess Akiko,あき子内親王
action plan 21,アクションプラン-21
Access,アクセス
"""Aguri""",あぐり
Agrippa,アグリッパ
removing scum,アク抜き
Achaemenid Empire of Persia,アケメネス朝ペルシア
high neck,あげ首
Agonashi Jizo,あごなし地蔵
akome shozoku (formal costume for Urayasu no mai),あこめ装束
Asaki Yume mishi (not having a dream),あさきゆめみし
"Asahi Breweries, Ltd.",アサヒビール
Asahi Beer Oyamazaki Villa Museum,アサヒビール大山崎山荘美術館
Asian elephant,アジアゾウ
Course in Asian History,アジア史コース
Asianism,アジア主義
Research and Information Center for Asian Religious Culture of Bukkyo University,アジア宗教文化情報研究所
Asian Resources Room,アジア情報室
Ritsumeikan Asia Pacific University,アジア太平洋大学
Japanese hydrangea,アジサイ
Ajisai Hall,あじさいホール
Ajisai (hydrangea) Matsuri Festival,アジサイ祭り
the Ajitavati River,アジタパティー河
Ashinazuchi,アシナヅチ
Ajanta Cave,アジャンター石窟
Asoka,アショーカ王
Ashirai,アシライ
azuki beans,アズキ
ASNAS,アズナス
Azuma-kaido Road,あずまかいどう
Asura,アスラ
"Asset Managers Holdings Co.,Ltd.",アセット・マネージャーズ
"MBK Operators co.,ltd.",アセットオペレーターズ
a path between rice fields,あぜ道
"Atago hon-jibutsu, the Atago eternal Buddhist figures Buddha",あたご本地仏火除地蔵尊
Adam Kirillovich Laksman,アダム・ラクスマン
Game for adults,アダルトゲーム
"Acheson, political adviser, top commander of the General Headquarters of the Allied Powers",アチソン連合国軍最高司令官総司令部政治顧問
Atsuma-ya Arbor,あつま屋
Aterui,アテルイ
Mt. Athos,アトス山
Atlus,アトラス
badger,アナグマ
anisakis,アニサキス
Animation Course,アニメーションコース
Department of Animation,アニメーション学科
Ahmad,アハマド
Abare Matsuri (Powerful Festival),あばれ祭り
Avanti,アバンティ (商業ビル)
Abiko Kannon,あびこ観音
Apita,アピタ
Avila GIRON,アビラ・ヒロン
Abgarus the 3rd,アブガルス３世
ogi,あふぎ
Abdullah,アブドゥッラー
Ahura Mazda,アフラ・マズダー
Aburatorigami (facial oil blotting paper),あぶらとり紙
application software,アプリ
manufacture of application service provider,アプリケーションサービスプロバイダ製作
distribution of application service provider,アプリケーションサービスプロバイダ販売
aburimochi (grilled rice cakes),あぶり餅
Lucius Apuleius,アプレイウス
The School of the Qur'an- The AbuNour Islamic,アブンヌール・イスラーム学院
Apollo,アポロン
Hamac de Paradis,アマーク・ド・パラディ
Amherst College,アマースト大学
tilefish,アマダイ
an amateur photographer,アマチュアカメラマン
Amatsuhikone,アマツヒコネ
Amaterasu,アマテラス
Amaterasu omikami,あまてらすおおみかみ
Amabe,あまべ
Kimiko AMAN,あまんきみこ
"Amidakuji, lottery",あみだくじ
amino acids/proteins,アミノ酸・たんぱく質
Amedeo MODIGLIANI,アメデオ・モディリアーニ
Amenouzume,アメノウズメ
Amenooshihomimi,アメノオシホミミ
Amenokoyane,アメノコヤネ
Amenokoyane no mikoto,アメノコヤネノミコト
Amenohoakari,アメノホアカリ
Amenohohi,アメノホヒ
America,アメリカ
American Board,アメリカン・ボード
Library of Congress,アメリカ議会図書館
Graduate School of American Studies,アメリカ研究科（前期・後期）
International Institutes of American Studies,アメリカ研究所
American Studies,アメリカ研究専攻
the United States of America,アメリカ合衆国
elected by The Academy of Television Arts & Sciences,アメリカ合衆国テレビ科学芸術協会選出
US made,アメリカ合衆国製
Department of State,アメリカ国務省
American,アメリカ人
yellowish-brown,あめ色
Ayabe-onsen Hot Spring,あやべ温泉
Aya Bus,あやべ市民バス
iris,あやめ
an ayu (a sweetfish),アユ
Ayutthaya Kingdom,アユタヤー王朝
story line,あらすじ
a wild rocambole,アララギ
Araragi-ha,アララギ派
ari,アリ
Alinamin,アリナミン
AL PLAZA,アル・プラザ
Arc-en-Ciel Foundation,アルカンシエール美術財団
Cueva de Altamira,アルタミラ洞窟
Arude Tango,あるでえ丹後
the Ardèche region,アルデシュ県
Artemis,アルテミス
ALPHARD,アルファード
the Alps,アルプス山脈
AL PLAZA,アルプラザ
Alfredo Stroessner,アルフレド・ストロエスネル
Alberto GIACOMETTI,アルベルト・ジャコメッティ
the king of Armenia,アルメニア王
Alexander Ⅲ,アレクサンドル3世
Awashima-Do,あわしま堂
a lined kimono,あわせ
abalones (female genitals),アワビ（女陰）
"Awara City, Fukui Prefecture",あわら市（福井県）
Anglo-Arabian horse,アングロアラブ
angler fish type,あんこう型
Anko Jizo,あんこ地蔵
an-san,あんさん
Anthree,アンスリー
Anta-bashi Bridge,あんた橋
Anti-Aging Research Center,アンチエイジングリサーチセンター
Cultures of the Andes,アンデス文明
Andrea Palladio,アンドレーア・パッラーディオ
an-nama (namayatsuhashi with filling),あんなま
Amrapali,アンバーパリー園
Princess Anne,アン王女
Eagle Bus,イーグルバス
Eat-and (former Osaka-Osho),イートアンド（旧大阪王将）
"Goteborg University, School of Business, Economics and Law",イエーテボリ大学政経大学院
the Society of Jesus,イエズス会
Jesuit,イエズス会員
AEON Group,イオン (企業)グループ
AEON MALL Kyoto Hana,イオンモール京都ハナ
Ion Engineering Research Institute Corporation,イオン工学研究所
Aeon Takanohara Shopping Center,イオン高の原ショッピングセンター
squid,イカ
Ikai (Court rank),位階
Ikada-gobo (burdock),いかだ牛蒡
Ika (squid) Hojo-meshi,いか豊穣めし
Iki kusa,イキクサ
England,イギリス
Queen of England,イギリス女王
an Englishman,イギリス人
British Empire,イギリス帝国
Ikura (salmon roe) Ichimatsu-zushi,いくら市松寿し
ikebana/(the Japanese art of) flower arrangement,いけばな
Ikoi no Mori,いこいの森
"Izanagi (The Male Who Invites), male deity ",イザナギ
Izanagi ryu,いざなぎ流
"Izanami (The Female Who Invites), female deity",イザナミ
Isamu NOGUCHI,イサム・ノグチ
Isuzu,いすゞ
Isuzu Gala,いすゞ・ガーラ
Isuzu Bus Manufacturing Ltd.,いすゞバス
"Isuzu Mortors, Ltd.",いすゞ自動車
Espana,イスパニア
Izumiya,イズミヤ
"Takano branch shop, Izumiya",イズミヤ高野店
"Hakubai branch shop, Izumiya",イズミヤ白梅町店
Izumiya Yawata Store,イズミヤ八幡店
Izumiya Rokujizo Store,イズミヤ六地蔵店
"Islam, Islamism",イスラム教
various schools of Islam,イスラム教各宗派
Five Pillars of Islam,イスラム五行
Itako (The Japanese shaman),イタコ
Mustelidae (martens),イタチ科（テン）
Italy,イタリア
Italian,イタリア語
Italian cuisine,イタリア料理
Ichikishima-hime,イチキシマヒメ
strawberry,いちご
ginkgo,イチョウ
Ito (Itoko),イト（絲子）
former Nara Sogo,イトーヨーカドー奈良店
Ito-Yokado,イトーヨーカ堂
Inoda Coffee,イノダコーヒ
Iburigakko,いぶりがっこ
Yima,イマ
Imagin,イマジン
Illustration Course,イラストレーションコース
Iran,イラン
Irinaka Station,いりなか駅
illuminations,イルミネーション
Irohazaka slope,いろは坂
sardines,イワシ
rockhopper penguin,イワトビペンギン
Iwanaga-hime,イワナガヒメ
Ivan Stendorf,イワン・シュテンドルフ
Incline,インクライン
neighborhood of Incline,インクライン周辺
kidney bean/French bean/ingenmame,インゲンマメ
instant suimono,インスタント食品
inter-urban,インターアーバン
Indiana,インディアナ
Interior Product Course,インテリアプロダクトコース
"INTELLIGENT SYSTEMS Co., Ltd",インテリジェントシステムズ本社
Department of Intelligent Information Engineering and Sciences,インテリジェント情報工学科
India,インド
Indian flying fox,インドオオコウモリ
blue peacock,インドクジャク
Indochina,インドシナ
Indian python,インドニシキヘビ
green aventurine,インドヒスイ
Indra,インドラ
"Ph. Radha Binod Pal, a judge representing India",インド代表判事ラダ・ビノード・パール
the 50th anniversary of the independence of India,インド独立50周年
the west coast of Indian peninsula,インド半島西岸
"Keihan Info Station, an open-counter type ticket gate",インフォーステーション
Virginia Woolf,ヴァージニア・ウルフ
Vatican,ヴァチカン
Valignano,ヴァリニャーニ
Varuna,ヴァルナ
University of Vienna,ウィーン大学
Victoria,ヴィクトリア
Victoria University of Wellington,ヴィクトリア大学ウェリントン校
Regime de Vichy,ヴィシー政権
Visnu,ヴィシュヌ
WiZ,ウィズ
University of Wisconsin,ウィスコンシン大学
University of Wisconsin Law School,ウィスコンシン大学ロースクール
Whitman College,ウィットマン大学
University of Winnipeg,ウィニペグ大学
William Merrell Vories,ウィリアム・メレル・ヴォーリズ
Williams College,ウィリアムズ大学
WILLCOM COUNTER Hanazonoten,ウィルコムカウンター花園橋店
Virocana,ヴィローチャナ
Wings Kyoto,ウィングス京都
Windsor Castle,ウィンザー城
Windsor dynasty,ウィンザー朝
WINS Kyoto,ウインズ京都
Winter Cup,ウィンターカップ
Vincenzo Ragusa ,ヴィンチェンツォ・ラグーザ
U-ton,うーとん
Yosano-Genji,ウェイリー
Vaisali,ヴェーサリー国
veda,ヴェーダ
"Keihanna Institution of Information Technology, Wescom",ウェスコム（株）「京阪奈情報技術研究所」
Westin Miyako Hotel,ウェスティン都ホテル
The Westin Miyako Kyoto,ウェスティン都ホテル京都
West Side Story,ウェストサイド物語
Westminster,ウェストミンスター
WEST Electric.,ウエスト電気
Wel Sunpia Kyoto,ウェルサンピア京都
Wellesley College,ウェルズリー大学
waterjet (water pressure knife),ウォータージェット（水圧の刃）
University of Warwick,ウォーリック大学
Ukano-mitama,ウカノミタマ
Ugayafukiaezu,ウガヤフキアエズ
Ukihune,うき舟
bush warbler bean jam,うぐいすあん
Ukemochi,ウケモチ（うけもち）
turmeric,ウコン
rabbit,ウサギ
Worcester sauce+C174,ウスターソース
Uzumasa,うずまさ
"U-zra8, Beepa",うずらっぱ (Beepa)
Uchiwa fan,うちわ
Adorable thing,うつくしきもの
Udome,うどめ
Utoro,ウトロ地区
udon (Japanese wheat noodle),うどん
eel,ウナギ
sea urchin,ウニ
horse-shaped piece,ウマ
Uma,ウマー
umami-chomiryo (chemical seasoning),うま味調味料
a Temminck's cormorant,ウミウ
Umitsu-michi,うみつみち
black-tailed gull,ウミネコ
Umino-michi,ウミノミチ
Japanese plum,ウメ
Ume(Hosenin),うめ（宝泉院）
Vladivostok,ウラジオストク
an ancestor of urushi (lacquar) worshepped as deity,うるし祖神
nonglutinous rice,うるち米
"Ultra mountain marathon, Sabakaido Maranic (marathon and picnic)",ウルトラ山岳マラソン鯖街道マラニック（マラソン＋ピクニック）
University of Wollongong,ウロンゴン大学
Uwanabe Ancient Tomb,ウワナベ古墳
the upper water,うわ水
"euphonic changes ""u""",ウ音便
"EIDEN Co.,Ltd.",エイデン (家電量販店)
Abraham LINCOLN,エイブラハム・リンカーン
Europa,エウロパ
Edel-Kitakinki,エーデル北近畿
expert systemizing project,エキスパートシステム化プロジェクト
Expo-junkyu (Semi Express to Expo),エキスポ準急
Expo-chokutsu (Direct service to Expo),エキスポ直通
Resourttrust XIV Yase Rikyu,エクシブ八瀬離宮
University of Aix-Marseille III,エクス・マルセイユ第3大学
"École Centrale de Lille, École Centrale de Nantes",エコール・サントラル（リール・ナント）
École Centrale,エコール・サントラル国立理工科学学院
EcoStation21,エコステーション21
Ecotopia Kotobuki,エコトピア寿
"egoma (type of perilla), Perilla frutescens var. frutescens",エゴマ
Ecology Research Institute,エコロジー研究所
Search Edison band!,エジソンバンドを探せ！
Egypt,エジプト
The Duke of Edinburgh[Vancouver Sun,エジンバラ公爵
ethnic foods restaurant,エスニック料理店
ESPEC Corp.,エスペック株式会社
prunus sargentii,エゾヤマザクラ
University of Edinburgh,エディンバラ大学
Edessa,エデッサ
Edoardo Chiossone,エドアルド・キヨッソーネ
Edwin O. Reischauer,エドウィン・O・ライシャワー
Edward Gauntlett,エドワード・ガントレット
Edward George Seidensticker,エドワード・サイデンステッカー
Edward VIII,エドワード8世
enamel,エナメル質
NC Bus,エヌシーバス
Department of Energy and Mechanical Engineering,エネルギー機械工学科
Energy Conversion Research Center,エネルギー変換研究センター
Evita,エビータ
ebiimo (taro-like tuber),エビイモ
prawn-fishing lower official,えびすきとねり
F-Plaza Umekoji,エフ・プラザ梅小路
"FM Ayabe, “FM Ikaru""",エフエムあやべ
FM Kyoto,エフエム京都
FM Kyoto (α-Station),エフエム京都（α-Station）
FM Osaka,エフエム大阪
emu,エミュー
"MK Co.,Ltd.",エムケイ
Elizabeth Ⅱ,エリザベス2世
Queen Elizabeth,エリザベス女王
Queen Elizabeth II Commemorative Cup,エリザベス女王杯
Erimo farm,えりも農場
Erythraea,エリュトレイア
El Brujo,エル＝ブルーホ
ELMAR MAIZURU,エル・マールまいづる
Erwin von Bälz,エルヴィン・フォン・ベルツ
ERGA,エルガ
Solyma,エルサレム
L-tokkyu (Limited Express),エル特急
L-limited Express 'Kita-Kinki (train)',エル特急「北近畿 (列車)」
"Limited Express ""Raicho""",エル特急「雷鳥 (列車)」
Elena,エレナ
erotic and grotesque taste,エログロ趣味
entasis,エンタシス
Enburi festival (Hachinohe City),えんぶり（八戸市）
embossment,エンボス
an embossing machine,エンボス機
embossed patterns,エンボス状の凹凸
"""e"" group",え段
Eugen Herrigel,オイゲン・ヘリゲル
Oiran,おいらん
oil shock,オイルショック
an oil fondue,オイルフォンデュ
ou,オウ
Ogi,おうぎ
Ogibasho traveler's-tree,オウギバショウ
ousu,おうす
Ofu,おうふう
ohan,おう飯
Oi-cho,おおい町
"OS Co.,Ltd.",オーエス
Augusta National Golf Club,オーガスタナショナルGC
Ookini Zaidan (Kyoto Traditional Musical Art Foundation),おおきに財団
Patrinia takeuchiana Makino,オオキンレイカ
Okura Hotels & Resorts,オークラホテルズ&リゾーツ
Oogetsuhime,オオゲツヒメ
Osaka Higashi Line,おおさか東線
Japanese giant salamander,オオサンショウウオ
Ocean Arrow,オーシャンアロー
envoy extraordinary to Austria,オーストリア特命全権公使
goshawk,オオタカ
rose-crested cockatoo,オオバタン
Open CourseWare,オープンコースウェア
Omononushi,オオモノヌシ
Oyamatsumi,オオヤマツミ
Japanese cracker mix,おかき
Okage mairi,おかげ参り
Okage-odori dance,おかげ踊り
Okage odorizu ema,おかげ踊り図絵馬
Okage-odori hozonkai (Okage-odori dance preservation group),おかげ踊り保存会
Korin OGATA,尾形光琳
Okame-no-monogatari,おかめの物語
the Okame ondo (a folk song),おかめ音頭
belief in Okame,おかめ信仰
Okame dolls,おかめ人形
Okame Setsubun,おかめ節分
statue of Okame,おかめ像
a gusset,おくみ
okra,オクラ
Ogotoonsen Station,おごと温泉 (駅)
Ogoto Onsen Port,おごと温泉港
girl's lacquered wooden clogs,おこぼ
okobo pokkuri,おこぼ（こっぽり）
mobile wallet,おサイフケータイ
mandarin duck,オシドリ
Oshaku (person pouring alcohol for guests or customers),おしゃく
face powder,おしろい
Oshiroi Jizo,おしろい地蔵
white-tailed sea eagle,オジロワシ
Oscar Benl,オスカー・ベンル
Oscar Wilde,オスカー・ワイルド
"a traditional coiffure for Shinto priestesses, with the hair gathered so as to hang down from the back of the head",おすべらかし
Ottoman Empire,オスマン帝国
Osoraku-zukuri,おそらく造り
Otabi (place where the sacred palanquin is lodged during a festival),オタビ
Otabe,おたべ
Odoma kanjin,おどま勧進
Odori Fukyubu (dance diffusion club),おどり普及部
Pintail,オナガガモ
onyx,オニキス
Oniyamma (dragonfly),オニヤンマ
Lilium lancifolium/tiger lily,オニユリ
Yoko ONO,オノ・ヨーコ
Wesleyan University,オハイオ・ウェスリアン大学
haunted house,オバケヤシキ
Hina Dolls beginning festival (Yanagawa City),おひな様始祭（柳川市）
Hina Dolls water parade (Yanagawa City),おひな様水上パレード（柳川市）
Obinzuru-sama,おびんずる様
ofuku chignon,おふく髷
Ofunago,おふなごう
Off Beat,オフビート
The Phantom of the Opera,オペラ座の怪人
Oberlin College,オベリン大学
oboko (a naive girl),おぼこ
hommage,オマージュ
omikuji （sacred lots）,おみくじ
Omikoshi,おみこし
omita,おみた
Valerian Family,オミナエシ科
OMRON Corporation,オムロン
"Keihanna Innovation Center, Omron",オムロン（株）「京阪奈イノベーションセンタ」
Omron Kyoto Head Office,オムロン本社
Omoikane (the god of wisdom and talent),オモイカネ（知恵と才能の神）
"Omocha (literally toys, or The Geisha House)",おもちゃ_(映画)
Toy libraries,おもちゃ図書館
Dutch,オランダ人
the representative of The Dutch government,オランダ政府代表
engineering official in Netherlands Ministry of Interior,オランダ内務省技官
"Orient Leasing Co., Ltd. (ORIX Corporation)",オリエント・リース（現オリックス (企業)）
Orix Buffaloes,オリックス・バファローズ
the state of Orissa,オリッサ州
Olympia Stadium,オリンピア競技場
Organtino GNECCHI SOLDI,オルガンティーノ・ニェッキ・ソルディ
Olmec,オルメカ
grated ginger,おろしショウガ
On Sendo,オンセンド
Ondine,オンディーヌ
Onna-taikoki (female Imperial adviser),おんな太閤記
a pilgrimage to Ise (Shrine),お伊勢参り
"Oinari-san (god of harvests, wealth, fertility, etc.)",お稲荷さん
"euphonic changes ""o""",オ音便
Otogi Zoshi,お伽草子
Onatsu no kata,お夏の方
family feud,お家騒動
Flower Festival,お花祭
Okame,お亀
